full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
shareAI-lab/learn-claude-code,76039,76039,12248,28,28,8,https://github.com/shareAI-lab/learn-claude-code
Alishahryar1/free-claude-code,53046,53046,8520,29,29,12,https://github.com/Alishahryar1/free-claude-code
ChinaSiro/claude-code-sourcemap,9649,9649,14622,-1,-1,0,https://github.com/ChinaSiro/claude-code-sourcemap
pengchengneo/Claude-Code,1776,1776,2602,0,0,1,https://github.com/pengchengneo/Claude-Code
hesreallyhim/awesome-claude-code,53484,53484,4667,9,9,0,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,65599,65599,6530,1,1,2,https://github.com/shanraisshan/claude-code-best-practice
davila7/claude-code-templates,30525,30525,3457,4,4,1,https://github.com/davila7/claude-code-templates
musistudio/claude-code-router,37070,37070,3116,9,9,2,https://github.com/musistudio/claude-code-router
Donchitos/Claude-Code-Game-Studios,24817,24817,3545,1,1,-1,https://github.com/Donchitos/Claude-Code-Game-Studios
VoltAgent/awesome-claude-code-subagents,24856,24856,2877,11,11,2,https://github.com/VoltAgent/awesome-claude-code-subagents
oboard/claude-code-rev,3294,3294,3810,1,1,-1,https://github.com/oboard/claude-code-rev
anthropics/claude-code-action,8786,8786,2120,1,1,0,https://github.com/anthropics/claude-code-action
ponponon/claude_code_src,2335,2335,3526,0,0,0,https://github.com/ponponon/claude_code_src
Piebald-AI/claude-code-system-prompts,12574,12574,2045,2,2,0,https://github.com/Piebald-AI/claude-code-system-prompts
liuup/claude-code-analysis,3889,3889,2057,1,1,0,https://github.com/liuup/claude-code-analysis
pedrohcgs/claude-code-my-workflow,1560,1560,3006,0,0,0,https://github.com/pedrohcgs/claude-code-my-workflow
ykdojo/claude-code-tips,10031,10031,810,1,1,0,https://github.com/ykdojo/claude-code-tips
diet103/claude-code-infrastructure-showcase,10017,10017,1230,1,1,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,9621,9621,720,2,2,0,https://github.com/frankbria/ralph-claude-code
chauncygu/collection-claude-code-source-code,2821,2821,2456,0,0,0,https://github.com/chauncygu/collection-claude-code-source-code
hangsman/claude-code-source,792,792,1758,0,0,0,https://github.com/hangsman/claude-code-source
lintsinghua/claude-code-book,4169,4169,823,4,4,0,https://github.com/lintsinghua/claude-code-book
